niqqudless,stressed,phrase,ind
תרד,ת֫רד,שמתי קצת תרד טרי בתוך הפשטידה.,1
תרד,ת֫רד,כדאי להוסיף לתרד טיפה של לימון לפני ההגשה.,2
תרד,ת֫רד,אמא שלי מכינה סלט עדשים עם תרד ועגבניות מיובשות.,3
תרד,ת֫רד,"בתרד יש הרבה ברזל, מה שטוב למי שסובל מאנמיה.",4
תרד,ת֫רד,אני מגדל תרד בגינה הקטנה שמאחורי הבית.,5
תרד,ת֫רד,יש במסעדה הזו פסטה מעולה עם רוטב שמנת ותרד.,6
תרד,ת֫רד,"עדיף לבשל את התרד רק כמה דקות, אחרת הוא מאבד מהערך התזונתי.",7
תרד,ת֫רד,"לא היה תרד בסופר, אז קניתי כרוב עלים במקום.",8
תרד,ת֫רד,"כשהיא הייתה קטנה, היא חשבה שתרד זה מה שפופאי אוכל.",9
תרד,ת֫רד,אל תשכח להפשיר את התרד הקפוא לפני השימוש.,10
תרד,ת֫רד,הכנתי פשטידת תרד עם בולגרית ובצק עלים.,11
תרד,ת֫רד,נשאר קצת מהתרד של אתמול.,12
תרד,ת֫רד,אני מוסיף לתרד גם שום וגרידת לימון – זה עושה פלאים.,13
תרד,ת֫רד,"בתרד יש הרבה ברזל, אבל לא תמיד הוא נספג טוב.",14
תרד,ת֫רד,לתרד יש טעם עדין שמתאים כמעט לכל תבשיל.,15
תרד,ת֫רד,"אל תרד אין לי אלרגיה, אבל למנגולד כן.",16
תרד,ת֫רד,יש במקרר שאריות מתרד מבושל מאתמול.,17
תרד,ת֫רד,הבצק ממולא בתרד ובצל מטוגן.,18
תרד,ת֫רד,"אתמול הכנו שייק ירוק עם תרד, תפוח ולימון.",19
תרד,ת֫רד,"במרק הזה יש תרד, חומוס וקינואה.",20
תרד,תר֫ד,אני מקווה שלא תרד ברמה אחרי ההצלחה הזאת.,1
תרד,תר֫ד,"כשתרד מהאוטובוס, תחכה לי בתחנה.",2
תרד,תר֫ד,שלא תרד על עצמך כל כך – עשית כמיטב יכולתך.,3
תרד,תר֫ד,"וכשתרד דרומה, תוכל לבקר את המשפחה שלי באילת.",4
תרד,תר֫ד,"תרד בבקשה מהמיטה, צריך להחליף מצעים.",5
תרד,תר֫ד,"רק אל תרד לרמה שלהם, זה לא שווה את זה.",6
תרד,תר֫ד,אל תרד לבד למרתף – החשמל מקולקל.,7
תרד,תר֫ד,תרד מהרעיון הזה – הוא לא ישים כרגע.,8
תרד,תר֫ד,"אל תרד לרמה שלו, שמור על כבודך.",9
תרד,תר֫ד,"אם אתה מתעייף, פשוט תרד מהאופניים ותנוח.",10
תרד,תר֫ד,ברגע שתבין שהוא לא רוצה – היא תרד מזה.,11
תרד,תר֫ד,"אל תרד לפרטים מיותרים, דבר תכלס.",12
תרד,תר֫ד,"תרד לקרקע המציאות, זה לא יקרה.",13
תרד,תר֫ד,הקבוצה תרד ליגה אם תפסיד שוב.,14
תרד,תר֫ד,אני מבקש שתרד איתי לדבר רגע מחוץ לחדר.,15
תרד,תר֫ד,"ותרד סוף־סוף מהנושא הזה, כבר דיברנו עליו מספיק.",16
תרד,תר֫ד,"תרד במעלית רק עד הקומה הראשונה, משם נלך ברגל.",17
תרד,תר֫ד,תרד למטה לבדוק אם השליח כבר הגיע.,18
תרד,תר֫ד,תרד לזרוק את הזבל לפני שהריח יתפשט בכל הבית.,19
תרד,תר֫ד,"תרד מהרעיון הזה, זה פשוט לא מתאים לתקציב שלנו.",20
בנו,ב֫נו,יש משהו בילדות שממשיך לחיות בנו גם כשאנחנו גדלים.,1
בנו,ב֫נו,הכאב ההוא נשאר בנו הרבה אחרי שהכול נגמר.,2
בנו,ב֫נו,לפעמים יש פחד קטן כזה שמסתתר בנו בלי שנרגיש.,3
בנו,ב֫נו,השאלה הזו יושבת בנו כבר הרבה זמן.,4
בנו,ב֫נו,לא תמיד אנחנו מבינים מה מתרחש בנו באמת.,5
בנו,ב֫נו,ההחלטות החשובות באמת מתגבשות בנו בשקט.,6
בנו,ב֫נו,התקווה הזו מתעוררת בנו בכל פעם שאנחנו מתחילים משהו חדש.,7
בנו,ב֫נו,הזיכרונות ההם חיים בנו גם אם לא מדברים עליהם.,8
בנו,ב֫נו,משהו בנאום הזה נגע בנו וגרם לנו לחשוב אחרת.,9
בנו,ב֫נו,"הכוחות האלה לא הגיעו מבחוץ, הם תמיד היו בנו.",10
בנו,ב֫נו,"גם אחרי כל מה שעברנו, נשאר בנו גרעין של אמונה.",11
בנו,ב֫נו,משהו בנו לא נותן לנו לוותר.,12
בנו,ב֫נו,יש תחושת שליחות שממש בוערת בנו לאחרונה.,13
בנו,ב֫נו,הביטחון הזה צמח בנו עם הזמן.,14
בנו,ב֫נו,הכאב הזה לא שוכן רק בזיכרון – הוא חי ממש בנו.,15
בנו,ב֫נו,"האהבה הזו עדיין קיימת איפשהו בנו, גם אם לא נודה בזה",16
בנו,ב֫נו,"בזמנים שבהם הראש מתבלבל – אנחנו עוצרים לרגע, ונזכרים בשקט שבנו.",17
בנו,ב֫נו,"אנחנו לוקחים נשימה עמוקה, ונזכרים באומץ שבנו שלא נעלם.",18
בנו,ב֫נו,"בהם שוררת סערה, ובנו שוכן שקט רגוע  עמוק.",19
בנו,ב֫נו,"בחוויות שהם חולקים בהם יש הרבה רעש, ואילו בחוויות שלנו ובנו יש שקט רב.",20
בנו,בנ֫ו,האדריכלים בנו את הבית במהירות ובמקצועיות רבה.,1
בנו,בנ֫ו,האחים בנו יחד צימר קטן ליד הנחל.,2
בנו,בנ֫ו,בנו עוד קומה בבניין כי כבר לא היה מקום.,3
בנו,בנ֫ו,בנו את התחנה הזו בשנות החמישים והיא עדיין פעילה.,4
בנו,בנ֫ו,המתנדבים בנו גשר עץ זמני כדי שנוכל לעבור.,5
בנו,בנ֫ו,לפני החורף בנו סככה חדשה לרכב.,6
בנו,בנ֫ו,בנו כיתה נוספת כי מספר התלמידים עלה.,7
בנו,בנ֫ו,המהנדסים בנו מערכת ניקוז חכמה במיוחד.,8
בנו,בנ֫ו,השכנים בנו גדר גבוהה בלי לשאול אף אחד.,9
בנו,בנ֫ו,"בנו את המגרש הזה לפני עשרים שנה, ומאז לא שיפצו אותו.",10
בנו,בנ֫ו,בנו גשר תלוי על מנת לחבר בין שני האזורים בעיר.,11
בנו,בנ֫ו,הם בנו אולם ספורט ענק ליד בית הספר התיכון.,12
בנו,בנ֫ו,בנו במה מאולתרת ממש ערב לפני ההופעה.,13
בנו,בנ֫ו,"הם בנו את העסק שלהם מאפס, בלי עזרה מאף אחד.",14
בנו,בנ֫ו,בנו את כל האזור הזה על חורבות של שכונה ישנה.,15
בנו,בנ֫ו,הילדים בנו סוכה לבד בלי עזרה של ההורים,16
בנו,בנ֫ו,"כשבנו את הבית, עוד לא ידעו אם בכלל יגורו בו.",17
בנו,בנ֫ו,אף אחד לא האמין שבנו את כל זה רק בחודש אחד.,18
בנו,בנ֫ו,שכחו להשאיר גישה לנכים כשבנו את הכניסה הצדדית.,19
בנו,בנ֫ו,"השכנים כעסו ובנו גדר משלהם, גבוהה יותר.",20
גרושים,גר֫ושים,שילמתי על הקפה כמה גרושים וזה היה שווה כל אגורה.,1
גרושים,גר֫ושים,הוא מכר את הספרים הישנים שלו בגרושים.,2
גרושים,גר֫ושים,"קיבלתי תוספת של גרושים בתלוש, זה אפילו לא מורגש.",3
גרושים,גר֫ושים,לא משתלם לעבוד שעות נוספות בשביל גרושים.,4
גרושים,גר֫ושים,הוא בזבז את זמנו ואת כישרונו בשביל כמה גרושים.,5
גרושים,גר֫ושים,בשכונה הזו משכירים חדרים בגרושים יחסית למרכז העיר.,6
גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,7
גרושים,גר֫ושים,בשוק אפשר למצוא בגדים במצב מצוין ממש בגרושים.,8
גרושים,גר֫ושים,"לא שווה לריב איתו בשביל גרושים, תן לו כבר.",9
גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,10
גרושים,גרוש֫ים,ההורים שלי גרושים כבר חמש עשרה שנה ומסתדרים היטב.,1
גרושים,גרוש֫ים,קבוצת התמיכה מיועדת לגרושים וגרושות שמחפשים התחלה חדשה.,2
גרושים,גרוש֫ים,באירוע פגשתי כמה גרושים שדיברו על החיים אחרי הנישואין.,3
גרושים,גרוש֫ים,"הם גרושים כבר שנתיים, אבל עדיין מתווכחים על כל דבר.",4
גרושים,גרוש֫ים,רוב האנשים בקורס היו גרושים בגילאי ארבעים פלוס.,5
גרושים,גרוש֫ים,"אחרי שהם הפכו לגרושים, כל אחד מהם פנה לכיוון שונה לגמרי.",6
גרושים,גרוש֫ים,הגרושים החדשים לא תמיד מבינים מה מחכה להם.,7
גרושים,גרוש֫ים,אנחנו גרים בשכונה עם הרבה משפחות חד־הוריות וגרושים.,8
גרושים,גרוש֫ים,לגרושים חדשים מומלץ לפנות לייעוץ מקצועי כדי להקל על המעבר.,9
גרושים,גרוש֫ים,"לגרושים האלה יש ילדים משותפים, אז הם נפגשים די הרבה.",10
מיני,מ֫יני,המיני-קיט שברשותי כולל את כל האביזרים הדרושים.,1
מיני,מ֫יני,במסעדה הגישו מיני קרואסונים חמים,2
מיני,מ֫יני,הם הציגו מיני-פרויקט במסגרת תערוכה מקומית.,3
מיני,מ֫יני,במסעדה הגישו מיני פיצות אישיות בטעמים שונים.,4
מיני,מ֫יני,"""מחופשים"" - מתפתחת כמיני סדרה מוצלחת בהחלט",5
מיני,מ֫יני,למיני־סנטר הזעיר הזה יש שירות לקוחות אישי ומדויק.,6
מיני,מ֫יני,"וכשהוסיפו מיני־בר בסלון, האירוח הפך לאינטימי במיוחד.",7
מיני,מ֫יני,היא קנתה חצאית מיני מבד ג'ינס לארוחת ערב עם חברים.,8
מיני,מ֫יני,המחשב החדש מגיע עם מיני מקלדת אלחוטית קטנה.,9
מיני,מ֫יני,היא לבשה חצאית מיני ג'ינס עם כיסים גדולים כדי לשאת את הטלפון בנוחות.,10
מיני,מינ֫י,השיח המיני ביניהם הפך פתוח וכנה יותר עם הזמן.,1
מיני,מינ֫י,הם ניהלו שיחה פתוחה על הקשר המיני שלהם.,2
מיני,מינ֫י,"הם שוחחו כאילו כלום לא קורה, אך מבטהם הסגירו משהו כמיני.",3
מיני,מינ֫י,הם שמרו על קשר מיני בריא לאורך שנים.,4
מיני,מינ֫י,הקשר המיני התפתח עם הזמן לחיבור עמוק יותר.,5
מיני,מינ֫י,"הנושא היה מיני מובהק, אך הוצג בעדינות.",6
מיני,מינ֫י,בין השניים התפתח מתח מיני לא מדובר.,7
מיני,מינ֫י,"אחרי שנים של משיכה, הקשר הפך למיני",8
מיני,מינ֫י,"הם בחרו להעמיק את הקשר, גם ברובד המיני.",9
מיני,מינ֫י,מאז אותו לילה היא הגדירה את הקשר בינהם - כמיני,10
כופר,כ֫ופר,החוטפים דרשו מההורים כופר בתמורה לשחרור הילד.,1
כופר,כ֫ופר,"כשסירב לשלם את הכופר, נשרף העסק שלו בלילה.",2
כופר,כ֫ופר,"על פי החשד, נדרש כופר במיליונים כדי להשיב את הציוד.",3
כופר,כ֫ופר,המבריחים איימו לפגוע בו אם לא יועבר הכופר עד סוף היום.,4
כופר,כ֫ופר,"לאחר שכופר שולם, כל הצדדים חתמו על הסכם סופי.",5
כופר,כ֫ופר,בית המשפט אישר את תשלום הכופר בתנאים מחמירים,6
כופר,כ֫ופר,הם החליטו לשלם כופר כדי למנוע עונש חמור יותר.,7
כופר,כ֫ופר,בכופר שנדרש היה סכום גבוה מהרגיל בתיקים מסוג זה.,8
כופר,כ֫ופר,לכופר שנגבה הייתה השפעה ישירה על המשך ההליכים.,9
כופר,כ֫ופר,"ואחרי תשלום כופר, נחתם ההסכם ונשמר בסודיות.",10
כופר,כופ֫ר,הם סירבו להושיב בכנסת אדם שכופר בעקרונות המדינה.,1
כופר,כופ֫ר,הדיון סבב סביב טענות שהועלו נגד כופר מהקהילה המקומית.,2
