homographs - with stress minimal pairs in modern hebrew,,,,,,
Processing: ,"niqqudless : Is the field-name for the line defining the comma-separated field-names, following lines - are data",,,,,
"Translation and Translitaration: Only given as references, to help speakers to recognise the word",,,,,,
,,,,,,
,,,,,,
,,,,,,
sources:,,,,,,
https://balshanut.com/2022/04/21/מלעיל-ומלרע-זוגות-מינימליים/ - by Baraq Paz,,,,,,
,,,,,,
,,,,,,
niqqudless,heb1,heb2,xlit1,xlit2,xlat1,xlat2
בירה,ב֫ירה,ביר֫ה,bˈiʁa,biʁˈa,beer,capital-city
פיצה,פ֫יצה,פיצ֫ה,pˈit͡sa,pit͡sˈa,pizza,compensated
פיתה,פ֫יתה,פית֫ה,pˈita,pitˈa,pita-bread,seduced
אורגנית,אורג֫נית,אורגנ֫ית,oʁɡˈanit,oʁɡanˈit,organic,small-music-organ-keyboard
טחינה,טח֫ינה,טחינ֫ה,ṭħˈina,ṭħinˈa,tahini,grind
מיני,מ֫יני,מינ֫י,mˈini,minˈi,mini,sexual
טרופית,טר֫ופית,טרופ֫ית,ṭʁˈopit,ṭʁopˈit,tropical,brand-name-tropit-drink
גרושים,גר֫ושים,גרוש֫ים,ɡʁˈuʃim,ɡʁuʃˈim,paltry,divorced
סודות,ס֫ודות,סוד֫ות,sˈodot,sodˈot,sodas,secrets
תרד,ת֫רד,תר֫ד,tˈeʁed,teʁˈed,spinach,you-will-descend
בנו,ב֫נו,בנ֫ו,bˈanu,banˈu,in-us,they-have-built
תקציבי,תקצ֫יבי,תקציב֫י,taqt͡sˈivi,taqt͡sivˈi,allocate!(f),budgetary
שותפתי,שות֫פתי,שותפת֫י,ʃutˈafti,ʃutaftˈi,I-have-been-included,my-partner
אוכל,א֫וכל,אוכ֫ל,ˈoχel,oχˈel,food,he eats
ילד,י֫לד,יל֫ד,jˈeled,jelˈed,child,he will deliver birth
ידע,י֫דע,יד֫ע,jˈedaʕ,jedˈaʕ,knowledge,he will know
פער,פ֫ער,פע֫ר,pˈaʕaʁ,paʕˈaʁ,a gap,he opened a gap
לחץ,ל֫חץ,לח֫ץ,lˈaħat͡s,laħˈat͡s,pressure,a pressed
ניג׳ס,נ֫יג׳ס,ניג֫׳ס,nˈid͡ʒes,nid͡ʒˈes,a bother,he nagged
צורך,צ֫ורך,צור֫ך,t͡sˈoʁeχ,t͡soʁˈeχ,a need,he consumes(x)
צעד,צ֫עד,צע֫ד,t͡sˈaʕad,t͡saʕˈad,a step,he stepped
רעד,ר֫עד,רע֫ד,ʁˈaʕad,ʁaʕˈad,a tremble,he trembled
כעס,כ֫עס,כע֫ס,kˈaʕas,kaʕˈas,anger,he was angry
עוגן,ע֫וגן,עוג֫ן,ʕˈoɡen,ʕoɡˈen,an anchor,anchoring
עוקץ,ע֫וקץ,עוק֫ץ,ʕˈoqet͡s,ʕoqˈet͡s,a sting,to sting
לחש,ל֫חש,לח֫ש,lˈaħaʃ,laħˈaʃ,a spell / incantation,he whispered
זעם,ז֫עם,זע֫ם,zˈaʕam,zaʕˈam,wrath,he was furious
טעם,ט֫עם,טע֫ם,ṭˈaʕam,ṭaʕˈam,flavour,tasted
פיטר,פ֫יטר,פיט֫ר,pˈiṭeʁ,piṭˈeʁ,name-Peter,dismissed-from-employment
כופר,כ֫ופר,כופ֫ר,kˈofeʁ,kofˈeʁ,ransom,infidel 
חורש,ח֫ורש,חור֫ש,ħˈoʁeʃ,ħoʁˈeʃ,grove,he plows
בוקר,ב֫וקר,בוק֫ר,bˈoqeʁ,boqˈeʁ,morning,cowboy
רצו,ר֫צו,רצ֫ו,ʁˈat͡su,ʁat͡sˈu,they ran,they wanted
רוצו,ר֫וצו,רוצ֫ו,ʁˈut͡su,ʁut͡sˈu,"run! (pl, m)",they were pleased
רצה,ר֫צה,רצ֫ה,ʁˈat͡sa,ʁat͡sˈa,she ran,he wanted
השתנו,השת֫נּו,השתנ֫ו,hiʃtˈanu,hiʃtanˈu,we urinated ,they have changed
חלו,ח֫לו,חל֫ו,ħˈalu,ħalˈu,happened (pl),they got sick
חלה,ח֫לה,חל֫ה,ħˈala,ħalˈa,it happened (f),he got sick  / hala bread
שבו,ש֫בו,שב֫ו,ʃˈavu,ʃavˈu,they returned,they have captured
טענו,טע֫נּו,טענ֫ו,ṭaʕˈanu,ṭaʕanˈu,we have claimed,they have claimed
