id,niqqudless,stressed,phrase,ind,phonikud:full,naturalreaders,google-translate,eleven-labs-v3-alpha
1,תרד,ת֫רד,שמתי קצת תרד טרי בתוך הפשטידה.,1,TRUE,TRUE,TRUE,TRUE
2,תרד,ת֫רד,כדאי להוסיף לתרד טיפה של לימון לפני ההגשה.,2,FALSE,FALSE,TRUE,FALSE
3,תרד,ת֫רד,אמא שלי מכינה סלט עדשים עם תרד ועגבניות מיובשות.,3,TRUE,TRUE,TRUE,TRUE
4,תרד,ת֫רד,"בתרד יש הרבה ברזל, מה שטוב למי שסובל מאנמיה.",4,FALSE,FALSE,TRUE,TRUE
5,תרד,ת֫רד,אני מגדל תרד בגינה הקטנה שמאחורי הבית.,5,TRUE,TRUE,TRUE,TRUE
6,תרד,ת֫רד,יש במסעדה הזו פסטה מעולה עם רוטב שמנת ותרד.,6,TRUE,FALSE,TRUE,TRUE
7,תרד,ת֫רד,"עדיף לבשל את התרד רק כמה דקות, אחרת הוא מאבד מהערך התזונתי.",7,TRUE,TRUE,TRUE,TRUE
8,תרד,ת֫רד,"לא היה תרד בסופר, אז קניתי כרוב עלים במקום.",8,TRUE,TRUE,TRUE,TRUE
9,תרד,ת֫רד,"כשהיא הייתה קטנה, היא חשבה שתרד זה מה שפופאי אוכל.",9,FALSE,FALSE,TRUE,TRUE
10,תרד,ת֫רד,אל תשכח להפשיר את התרד הקפוא לפני השימוש.,10,TRUE,TRUE,TRUE,TRUE
11,תרד,ת֫רד,הכנתי פשטידת תרד עם בולגרית ובצק עלים.,11,TRUE,TRUE,TRUE,TRUE
12,תרד,ת֫רד,נשאר קצת מהתרד של אתמול.,12,FALSE,TRUE,TRUE,FALSE
13,תרד,ת֫רד,אני מוסיף לתרד גם שום וגרידת לימון – זה עושה פלאים.,13,TRUE,FALSE,TRUE,TRUE
14,תרד,ת֫רד,"בתרד יש הרבה ברזל, אבל לא תמיד הוא נספג טוב.",14,TRUE,FALSE,TRUE,FALSE
15,תרד,ת֫רד,לתרד יש טעם עדין שמתאים כמעט לכל תבשיל.,15,TRUE,FALSE,TRUE,TRUE
16,תרד,ת֫רד,"אל תרד אין לי אלרגיה, אבל למנגולד כן.",16,FALSE,TRUE,FALSE,FALSE
17,תרד,ת֫רד,יש במקרר שאריות מתרד מבושל מאתמול.,17,TRUE,FALSE,TRUE,TRUE
18,תרד,ת֫רד,הבצק ממולא בתרד ובצל מטוגן.,18,TRUE,TRUE,TRUE,TRUE
19,תרד,ת֫רד,"אתמול הכנו שייק ירוק עם תרד, תפוח ולימון.",19,TRUE,TRUE,TRUE,TRUE
20,תרד,ת֫רד,"במרק הזה יש תרד, חומוס וקינואה.",20,FALSE,TRUE,TRUE,TRUE
21,תרד,תר֫ד,אני מקווה שלא תרד ברמה אחרי ההצלחה הזאת.,1,TRUE,FALSE,TRUE,TRUE
22,תרד,תר֫ד,"כשתרד מהאוטובוס, תחכה לי בתחנה.",2,TRUE,TRUE,TRUE,TRUE
23,תרד,תר֫ד,שלא תרד על עצמך כל כך – עשית כמיטב יכולתך.,3,TRUE,FALSE,TRUE,TRUE
24,תרד,תר֫ד,"וכשתרד דרומה, תוכל לבקר את המשפחה שלי באילת.",4,TRUE,TRUE,TRUE,FALSE
25,תרד,תר֫ד,"תרד בבקשה מהמיטה, צריך להחליף מצעים.",5,TRUE,FALSE,TRUE,TRUE
26,תרד,תר֫ד,"רק אל תרד לרמה שלהם, זה לא שווה את זה.",6,TRUE,FALSE,TRUE,TRUE
27,תרד,תר֫ד,אל תרד לבד למרתף – החשמל מקולקל.,7,TRUE,FALSE,TRUE,TRUE
28,תרד,תר֫ד,תרד מהרעיון הזה – הוא לא ישים כרגע.,8,TRUE,FALSE,TRUE,FALSE
29,תרד,תר֫ד,"אל תרד לרמה שלו, שמור על כבודך.",9,TRUE,FALSE,TRUE,TRUE
30,תרד,תר֫ד,"אם אתה מתעייף, פשוט תרד מהאופניים ותנוח.",10,TRUE,FALSE,TRUE,TRUE
31,תרד,תר֫ד,ברגע שתבין שהוא לא רוצה – היא תרד מזה.,11,TRUE,FALSE,TRUE,TRUE
32,תרד,תר֫ד,"אל תרד לפרטים מיותרים, דבר תכלס.",12,TRUE,FALSE,TRUE,TRUE
33,תרד,תר֫ד,"תרד לקרקע המציאות, זה לא יקרה.",13,TRUE,FALSE,TRUE,FALSE
34,תרד,תר֫ד,הקבוצה תרד ליגה אם תפסיד שוב.,14,TRUE,FALSE,TRUE,TRUE
35,תרד,תר֫ד,אני מבקש שתרד איתי לדבר רגע מחוץ לחדר.,15,TRUE,TRUE,TRUE,TRUE
36,תרד,תר֫ד,"ותרד סוף-סוף מהנושא הזה, כבר דיברנו עליו מספיק.",16,FALSE,TRUE,TRUE,TRUE
37,תרד,תר֫ד,"תרד במעלית רק עד הקומה הראשונה, משם נלך ברגל.",17,TRUE,FALSE,TRUE,TRUE
38,תרד,תר֫ד,תרד למטה לבדוק אם השליח כבר הגיע.,18,TRUE,FALSE,TRUE,TRUE
39,תרד,תר֫ד,תרד לזרוק את הזבל לפני שהריח יתפשט בכל הבית.,19,TRUE,FALSE,TRUE,TRUE
40,תרד,תר֫ד,"תרד מהרעיון הזה, זה פשוט לא מתאים לתקציב שלנו.",20,TRUE,FALSE,TRUE,TRUE
41,בנו,ב֫נו,יש משהו בילדות שממשיך לחיות בנו גם כשאנחנו גדלים.,1,TRUE,FALSE,FALSE,TRUE
42,בנו,ב֫נו,הכאב ההוא נשאר בנו הרבה אחרי שהכול נגמר.,2,TRUE,TRUE,FALSE,TRUE
43,בנו,ב֫נו,לפעמים יש פחד קטן כזה שמסתתר בנו בלי שנרגיש.,3,TRUE,TRUE,FALSE,TRUE
44,בנו,ב֫נו,השאלה הזו יושבת בנו כבר הרבה זמן.,4,TRUE,TRUE,FALSE,TRUE
45,בנו,ב֫נו,לא תמיד אנחנו מבינים מה מתרחש בנו באמת.,5,TRUE,TRUE,TRUE,TRUE
46,בנו,ב֫נו,ההחלטות החשובות באמת מתגבשות בנו בשקט.,6,TRUE,TRUE,TRUE,TRUE
47,בנו,ב֫נו,התקווה הזו מתעוררת בנו בכל פעם שאנחנו מתחילים משהו חדש.,7,TRUE,TRUE,TRUE,TRUE
48,בנו,ב֫נו,הזיכרונות ההם חיים בנו גם אם לא מדברים עליהם.,8,TRUE,TRUE,FALSE,TRUE
49,בנו,ב֫נו,משהו בנאום הזה נגע בנו וגרם לנו לחשוב אחרת.,9,TRUE,TRUE,TRUE,TRUE
50,בנו,ב֫נו,"הכוחות האלה לא הגיעו מבחוץ, הם תמיד היו בנו.",10,TRUE,TRUE,TRUE,TRUE
51,בנו,ב֫נו,"גם אחרי כל מה שעברנו, נשאר בנו גרעין של אמונה.",11,TRUE,TRUE,TRUE,TRUE
52,בנו,ב֫נו,משהו בנו לא נותן לנו לוותר.,12,TRUE,TRUE,FALSE,TRUE
53,בנו,ב֫נו,יש תחושת שליחות שממש בוערת בנו לאחרונה.,13,TRUE,TRUE,TRUE,TRUE
54,בנו,ב֫נו,הביטחון הזה צמח בנו עם הזמן.,14,TRUE,TRUE,FALSE,TRUE
55,בנו,ב֫נו,הכאב הזה לא שוכן רק בזיכרון – הוא חי ממש בנו.,15,TRUE,FALSE,FALSE,TRUE
56,בנו,ב֫נו,"האהבה הזו עדיין קיימת איפשהו בנו, גם אם לא נודה בזה.",16,TRUE,FALSE,FALSE,TRUE
57,בנו,ב֫נו,"בזמנים שבהם הראש מתבלבל – אנחנו עוצרים לרגע, ונזכרים בשקט שבנו.",17,TRUE,FALSE,FALSE,TRUE
58,בנו,ב֫נו,"אנחנו לוקחים נשימה עמוקה, ונזכרים באומץ שבנו שלא נעלם.",18,TRUE,FALSE,FALSE,TRUE
